Date,Time,Bet amount,Bet outcome,P of this eoutcome,
,,,,,
11/03/2024,16:41:50,1,2,32.43243243,
11/03/2024,16:41:54,1,-1,67.56756757,
11/03/2024,16:41:55,1,-1,45.65376187,
11/03/2024,16:41:58,2,-2,30.8471364,
11/03/2024,16:41:59,3,6,10.00447667,
11/03/2024,16:42:03,1,2,32.43243243,
11/03/2024,16:42:06,1,2,32.43243243,
11/03/2024,16:42:11,1,-1,67.56756757,
11/03/2024,16:42:12,1,-1,45.65376187,
11/03/2024,16:42:14,2,-2,30.8471364,
11/03/2024,16:42:16,3,-3,20.84265973,
11/03/2024,16:42:18,5,-5,14.0828782,
11/03/2024,16:42:20,8,-8,9.51545824,
11/03/2024,16:42:24,13,-13,6.429363676,
11/03/2024,16:42:28,21,42,2.08519903,
11/03/2024,16:42:32,1,2,32.43243243,
11/03/2024,16:42:35,1,-1,67.56756757,
11/03/2024,16:42:37,1,-1,45.65376187,
11/03/2024,16:42:40,2,4,14.80662547,
11/03/2024,16:42:45,1,2,32.43243243,
11/03/2024,16:42:48,1,-1,67.56756757,
11/03/2024,16:42:50,1,-1,45.65376187,
11/03/2024,16:42:53,2,-2,30.8471364,
11/03/2024,16:42:55,3,6,10.00447667,
11/03/2024,16:42:58,1,-1,67.56756757,
11/03/2024,16:43:01,1,2,21.9138057,
11/03/2024,16:43:04,1,2,32.43243243,
11/03/2024,16:43:08,1,-1,67.56756757,
11/03/2024,16:43:09,1,2,21.9138057,
11/03/2024,16:43:14,1,2,32.43243243,
11/03/2024,16:43:17,1,2,32.43243243,
11/03/2024,16:43:21,1,2,32.43243243,
11/03/2024,16:43:24,1,2,32.43243243,
11/03/2024,16:43:29,1,-1,67.56756757,
11/03/2024,16:43:30,1,2,21.9138057,
11/03/2024,16:43:34,1,2,32.43243243,
11/03/2024,16:43:37,1,-1,67.56756757,
11/03/2024,16:43:39,1,-1,45.65376187,
11/03/2024,16:43:41,2,-2,30.8471364,
11/03/2024,16:43:43,3,-3,20.84265973,
11/03/2024,16:43:45,5,-5,14.0828782,
11/03/2024,16:43:48,8,-8,9.51545824,
11/03/2024,16:43:50,13,26,3.086094564,
11/03/2024,16:43:54,1,-1,67.56756757,
11/03/2024,16:43:55,1,-1,45.65376187,
11/03/2024,16:43:58,2,-2,30.8471364,
11/03/2024,16:43:59,3,-3,20.84265973,
11/03/2024,16:44:02,5,-5,14.0828782,
11/03/2024,16:44:05,8,-8,9.51545824,
11/03/2024,16:44:08,13,26,3.086094564,
11/03/2024,16:44:11,1,2,32.43243243,
11/03/2024,16:44:12,1,2,32.43243243,
11/03/2024,16:44:17,1,-1,67.56756757,
11/03/2024,16:44:19,1,-1,45.65376187,
11/03/2024,16:44:21,2,4,14.80662547,
11/03/2024,16:44:25,1,-1,67.56756757,
11/03/2024,16:44:28,1,2,21.9138057,
11/03/2024,16:44:31,1,-1,67.56756757,
11/03/2024,16:44:33,1,-1,45.65376187,
11/03/2024,16:44:35,2,-2,30.8471364,
11/03/2024,16:44:38,3,-3,20.84265973,
11/03/2024,16:44:40,5,-5,14.0828782,
11/03/2024,16:44:43,8,16,4.567419955,
11/03/2024,16:44:48,1,2,32.43243243,
11/03/2024,16:44:52,1,-1,67.56756757,
11/03/2024,16:44:53,1,2,21.9138057,
11/03/2024,16:44:57,1,2,32.43243243,
11/03/2024,16:45:01,1,2,32.43243243,
11/03/2024,16:45:05,1,-1,67.56756757,
11/03/2024,16:45:07,1,2,21.9138057,
11/03/2024,16:45:11,1,2,32.43243243,
11/03/2024,16:45:15,1,-1,67.56756757,
11/03/2024,16:45:17,1,2,21.9138057,
11/03/2024,16:45:21,1,-1,67.56756757,
11/03/2024,16:45:23,1,-1,45.65376187,
11/03/2024,16:45:25,2,-2,30.8471364,
11/03/2024,16:45:28,3,6,10.00447667,
11/03/2024,16:45:31,1,-1,67.56756757,
11/03/2024,16:45:33,1,2,21.9138057,
11/03/2024,16:45:37,1,-1,67.56756757,
11/03/2024,16:45:39,1,-1,45.65376187,
11/03/2024,16:45:41,2,-2,30.8471364,
11/03/2024,16:45:43,3,-3,20.84265973,
11/03/2024,16:45:45,5,10,6.759781534,
11/03/2024,16:45:48,1,-1,67.56756757,
11/03/2024,16:45:49,1,2,21.9138057,
11/03/2024,16:45:54,1,-1,67.56756757,
11/03/2024,16:45:55,1,-1,45.65376187,
11/03/2024,16:45:57,2,-2,30.8471364,
11/03/2024,16:45:59,3,6,10.00447667,
11/03/2024,16:46:03,1,-1,67.56756757,
11/03/2024,16:46:04,1,-1,45.65376187,
11/03/2024,16:46:06,2,4,14.80662547,
11/03/2024,16:46:09,1,-1,67.56756757,
11/03/2024,16:46:12,1,-1,45.65376187,
11/03/2024,16:46:13,2,-2,30.8471364,
11/03/2024,16:46:15,3,-3,20.84265973,
11/03/2024,16:46:17,5,-5,14.0828782,
11/03/2024,16:46:20,8,-8,9.51545824,
11/03/2024,16:46:22,13,-13,6.429363676,
11/03/2024,16:46:26,21,-21,4.344164646,
11/03/2024,16:46:31,34,-34,2.935246382,
11/03/2024,16:46:39,55,-55,1.983274583,
11/03/2024,16:46:50,89,-89,1.340050394,
11/03/2024,16:47:07,144,-144,0.905439455,
11/03/2024,16:47:33,233,-233,0.611783416,
11/03/2024,16:48:13,377,754,0.198416243,FAIL
11/03/2024,16:48:16,1,2,32.43243243,
11/03/2024,16:48:17,1,2,32.43243243,
11/03/2024,16:48:22,1,2,32.43243243,
11/03/2024,16:48:25,1,-1,67.56756757,
11/03/2024,16:48:27,1,-1,45.65376187,
11/03/2024,16:48:28,2,-2,30.8471364,
11/03/2024,16:48:31,3,6,10.00447667,
11/03/2024,16:48:34,1,-1,67.56756757,
11/03/2024,16:48:36,1,-1,45.65376187,
11/03/2024,16:48:38,2,-2,30.8471364,
11/03/2024,16:48:40,3,-3,20.84265973,
11/03/2024,16:48:42,5,-5,14.0828782,
11/03/2024,16:48:44,8,-8,9.51545824,
11/03/2024,16:48:47,13,26,3.086094564,
11/03/2024,16:48:51,1,-1,67.56756757,
11/03/2024,16:48:52,1,-1,45.65376187,
11/03/2024,16:48:55,2,4,14.80662547,
11/03/2024,16:48:58,1,-1,67.56756757,
11/03/2024,16:49:00,1,-1,45.65376187,
11/03/2024,16:49:01,2,4,14.80662547,
11/03/2024,16:49:05,1,-1,67.56756757,
